separation_proxy,age,sex,educ,marst,statefip,metfips,occupation,industry,class_worker,usual_hours,hourly_wage_proxy,annual_wage_proxy,predicted_risk,replacement_cost,expected_attrition_cost,stressed_risk,stressed_expected_cost
0,34,2,81,1,1,12220,2360,7970,21,40.0,25.0,52000.0,0.30766455725300207,26000.0,7999.278488578054,0.3691974687036025,9599.134186293664
0,41,2,123,1,2,99998,705,7290,21,40.0,65.875,137020.0,0.37381419061117616,68510.0,25610.010198771677,0.4485770287334114,30732.012238526015
0,47,1,73,1,2,99998,2360,6690,21,40.0,61.05,126984.0,0.252462137362008,63492.0,16029.326025388613,0.3029545648344096,19235.191230466335
0,23,2,73,6,2,99998,4055,8680,21,25.0,15.0,19500.0,0.616402774415304,9750.0,6009.927050549214,0.7396833292983648,7211.912460659057
0,64,2,111,4,2,99998,10,7470,21,40.0,26.425,54964.0,0.35168245177473756,27482.0,9664.937139673337,0.42201894212968505,11597.924567608005
0,39,1,111,1,2,99998,9030,6380,21,40.0,20.75,43160.0,0.5724224218727162,21580.0,12352.875864013215,0.6869069062472594,14823.451036815857
0,34,2,91,6,2,99998,5110,8090,21,40.0,28.0,58240.0,0.25463524557897016,29120.0,7414.978351259611,0.3055622946947642,8897.974021511534
0,71,1,123,1,2,99998,420,190,21,38.0,30.342105263157894,59956.0,0.49665352399071017,29978.0,14888.679342193509,0.5959842287888522,17866.41521063221
0,37,2,111,1,2,99998,800,770,21,45.0,36.333333333333336,85020.0,0.3766954969417379,42510.0,16013.325574993278,0.4520345963300854,19215.99068999193
0,38,1,111,1,2,99998,1410,7380,21,40.0,64.9,134992.0,0.10309188797173378,67496.0,6958.2900705401435,0.12371026556608053,8349.948084648171
0,43,2,73,6,2,99998,5810,9480,25,70.0,28.0,101920.0,0.39411379960890197,50960.0,20084.039228069643,0.47293655953068237,24100.847073683573
0,58,1,123,1,2,99998,60,9490,25,40.0,48.075,99996.0,0.15933733751552925,49998.0,7966.548201101432,0.1912048050186351,9559.857841321718
